episode,film,character,line
1,The Phantom Menace,QUI-GON,and OBI-WAN turn off their swords and listen intently. A
1,The Phantom Menace,OBI-WAN,"Offhand, I’d say this mission is past the negotiation stage."
1,The Phantom Menace,QUI-GON,and OBI-WAN each take a sudden deep breath and hold it.
1,The Phantom Menace,FEDERATION BATTLESHIP,– HALLWAY
1,The Phantom Menace,NUTE,They must be dead by now. Blast what’s left of them.
1,The Phantom Menace,DROIDS,cock their weapons as a figure stumbles out of the smoke. It
1,The Phantom Menace,TC-3,"Oh, excuse me, so sorry."
1,The Phantom Menace,DROIDS,before they can fire. 13. INT. FEDERATION BATTLESHIP
1,The Phantom Menace,OWO-1,… Not sure exactly what…
1,The Phantom Menace,OWO-1,is suddenly cut in half in mid-sentence. RUNE gives NUTE a
1,The Phantom Menace,NUTE,What in blazes is going on down there?
1,The Phantom Menace,RUNE,"Have you ever encountered a Jedi Knight before, sir?"
1,The Phantom Menace,NUTE,"Well, not exactly, but I don’t… (panicked) Seal off the bridge…"
1,The Phantom Menace,RUNE,"That won’t be enough, sir."
1,The Phantom Menace,NUTE I,want destroyer droids up here at once!!!
1,The Phantom Menace,RUNE,We will not survive this. 14. INT. FEDERATION BATTLESHIP
1,The Phantom Menace,QUI-GON,"cuts several BATTLE DROIDS in half, creating a shower of"
1,The Phantom Menace,BATTLE DROIDS,crashing into the wall. QUI-GON makes his way to
1,The Phantom Menace,BATTLESHIP,– BRIDGE
1,The Phantom Menace,NUTE,Close the blast doors!!
1,The Phantom Menace,RUNE,…They’re still coming through!
1,The Phantom Menace,NUTE,Impossible!! This is impossible!!
1,The Phantom Menace,RUNE,Where are those destroyer droids?! 16. INT. FEDERATION
1,The Phantom Menace,BATTLESHIP,– HALLWAY – OUTSIDE BRIDGE
1,The Phantom Menace,QUI-GON,Gas!
1,The Phantom Menace,TC-3,"Ahhh… Sorry, sir. The Viceroy…"
1,The Phantom Menace,QUI-GON I,"know, I know."
1,The Phantom Menace,CAPT. PANAKA,"It could be the Federation jamming us, Your"
1,The Phantom Menace,P-59,Switch to bio… There they are!
1,The Phantom Menace,RUNE,"We have them on the run, sir… they’re no match for destroyer"
1,The Phantom Menace,TEY HOW,"Sir, a transmission from the planet."
1,The Phantom Menace,RUNE,It’s Queen Amidala herself.
1,The Phantom Menace,NUTE,At last we’re getting results.
1,The Phantom Menace,NUTE,"Again you come before me, Your highness. The Federation is"
1,The Phantom Menace,AMIDALA,"You will not be pleased when you hear what I have to say,"
1,The Phantom Menace,NUTE,smirks at RUNE.
1,The Phantom Menace,NUTE I,was not aware of such a failure.
1,The Phantom Menace,AMIDALA I,have word that the Senate is finally voting on this
1,The Phantom Menace,NUTE I,take it you know the outcome. I wonder why they bothered to
1,The Phantom Menace,AMIDALA,"Enough of this pretense, Viceroy! I’m aware the"
1,The Phantom Menace,NUTE I,know nothing about any Ambassadors… you must be
1,The Phantom Menace,AMIDALA,"Beware, Viceroy… the Federation is going too far this time."
1,The Phantom Menace,NUTE,"Your Majesty, we would never do anything without the"
1,The Phantom Menace,RUNE,"She’s right, the Senate will never…"
1,The Phantom Menace,RUNE,Do you think she suspects an attack?
1,The Phantom Menace,NUTE I,"don’t know, but we must move quickly to disrupt all"
1,The Phantom Menace,PALPATINE,…How could that be true? I have assurances from the
1,The Phantom Menace,AMIDALA,"Senator Palpatine, we’re losing you. (turns to"
1,The Phantom Menace,CAPTAIN PANAKA,turns to his SERGEANT
1,The Phantom Menace,CAPT. PANAKA,Check the transmission generators…
1,The Phantom Menace,BIBBLE A,malfunction?
1,The Phantom Menace,NUTE,"and RUNE stand on the bridge, watching the view screen as"
1,The Phantom Menace,JAR JAR I,scovered oily back dare. Needen it?
1,The Phantom Menace,AMIDALA,"Don’t jump to conclusions, Governor. The Federation"
1,The Phantom Menace,AMIDALA,We must continue to rely on negotiation.
1,The Phantom Menace,JAR JAR,"Oh boot tis! Tis demunded byda guds. Tis a live deb-ett, tis."
1,The Phantom Menace,BIBBLE,Negotiation? We’ve lost all communications!… and where
1,The Phantom Menace,CAPT. PANAKA,"This is a dangerous situation, Your Highness. Our"
1,The Phantom Menace,AMIDALA I,will not condone a course of action that will lead us to
1,The Phantom Menace,QUI-GON,and OBI-WAN appear at a large vent in a giant hanger
1,The Phantom Menace,QUI-GON,Battle droids.
1,The Phantom Menace,OBI-WAN,An invasion army.
1,The Phantom Menace,QUI-GON,It’s an odd play for the Trade Federation. We’ve got to
1,The Phantom Menace,OBI-WAN,"You were right about one thing, Master. The negotiations"
1,The Phantom Menace,QUI-GON,"runs through the strange landscape, glancing back to see"
1,The Phantom Menace,JAR JAR,looks up and sees QUI-GON and the other creatures
1,The Phantom Menace,JAR JAR,"Oh, noooooooooo!"
1,The Phantom Menace,JAR JAR,drops the shell and grabs onto QUI-GON as he passes.
1,The Phantom Menace,JAR JAR,"Hey, hep me! Hep me!!"
1,The Phantom Menace,QUI-GON,Let go!
1,The Phantom Menace,QUI-GON,and JAR JAR pull themselves out of the mud. They stand
1,The Phantom Menace,QUI-GON,and hugs him.
1,The Phantom Menace,JAR JAR,"Oyi, mooie-mooie! I luv yous!"
1,The Phantom Menace,QUI-GON,Are you brainless? You almost got us killed!
1,The Phantom Menace,JAR JAR I,spake.
1,The Phantom Menace,QUI-GON,The ability to speak does not make you intelligent. Now get
1,The Phantom Menace,QUI-GON,"starts to move off, and JAR JAR follows."
1,The Phantom Menace,JAR JAR,No… .no! Mesa stay… Mesa yous humble servaunt.
1,The Phantom Menace,QUI-GON I,have no time for this now…
1,The Phantom Menace,QUI-GON,That wont be necessary.
1,The Phantom Menace,JAR JAR,Say what?
1,The Phantom Menace,JAR JAR,Oh! Yousa point is well seen. Dis way! Hurry!
1,The Phantom Menace,QUI-GON,throws JAR JAR into the mud.
1,The Phantom Menace,QUI-GON,Stay down!
1,The Phantom Menace,JAR,JAR: …dieeee!
1,The Phantom Menace,OBI-WAN,pulls out his burnt laser sword handle. QUI-GON inspects
1,The Phantom Menace,QUI-GON,"You forgot to turn your power off again, didn’t you?"
1,The Phantom Menace,OBI-WAN,nods sheepishly.
1,The Phantom Menace,QUI-GON,"It won’t take long to recharge, but this is a lesson I hope"
1,The Phantom Menace,OBI-WAN,"Yes, Master."
1,The Phantom Menace,JAR JAR,"Yousa sav-ed my again, hey?"
1,The Phantom Menace,OBI-WAN,What’s this?
1,The Phantom Menace,QUI-GON A,"local. Let’s go, before more of those droids show up."
1,The Phantom Menace,OBI-WAN,and QUI-GON start to run. JAR JAR tries to keep up.
1,The Phantom Menace,CAPT. PANAKA,"The Senate would revoke their trade permits, and"
1,The Phantom Menace,JAR JAR,"Ex-squeeze-me, but da moto grande safe place would be"
1,The Phantom Menace,QUI-GON A,city! (Jar Jar nods his head) Can you take us there?
1,The Phantom Menace,JAR JAR,"Ahhh, will… on second taut… no, not willy."
1,The Phantom Menace,QUI-GON,No??!
1,The Phantom Menace,JAR JAR,"Iss embarrissing, boot… My afrai my’ve bean banished. My"
1,The Phantom Menace,A PULSATING SOUND,is heard in the distance.
1,The Phantom Menace,QUI-GON,You hear that?
1,The Phantom Menace,JAR JAR,shakes his head yes.
1,The Phantom Menace,QUI-GON,That’s the sound of a thousand terrible things heading this
1,The Phantom Menace,OBI-WAN,"When they find us, they will crush us, grind us into little"
1,The Phantom Menace,JAR JAR,"Oh, nooooo! Weesa ganna…"
1,The Phantom Menace,JAR JAR,turns and runs into the swamp. 23. EXT. NABOO EDGE
1,The Phantom Menace,OF SWAMP/GRASS PLAINS,– SUNRISE (FX)
1,The Phantom Menace,RUNE,…and there is no trace of the Jedi. They may have gotten onto
1,The Phantom Menace,NUTE,Excellent. 24. EXT. NABOO SWAMP LAKE – TWILIGHT
1,The Phantom Menace,JAR JAR,tries to catch his breath. The TRANSPORTS ARE HEARD
1,The Phantom Menace,QUI-GON,Much farther?
1,The Phantom Menace,JAR JAR,"Wesa goen underwater, okeyday?"
1,The Phantom Menace,QUI-GON,and OBI-WAN pull out small capsule from their utility belts
1,The Phantom Menace,JAR JAR,My warning yous. Gungans no liken outlaunders. Don’t
1,The Phantom Menace,OBI-WAN,"Don’t worry, this has not been our day for warm welcomes."
1,The Phantom Menace,JAR JAR,"jumps, does a double somersault with a twist, and dives"
1,The Phantom Menace,EXT. NABOO LAKE,– UNDERWATER
1,The Phantom Menace,QUI-GON,"and OBI-WAN swim behind JAR JAR, who is very much at"
1,The Phantom Menace,GUNGANS,in the square scatter when they see the strange JEDI.
1,The Phantom Menace,KAADUS,"into the square. The GUARDS, led by CAPTAIN TARPALS,"
1,The Phantom Menace,JAR JAR,"Heyo-dalee, Cap’n Tarpals, Mesa back!"
1,The Phantom Menace,CAPT. TARPALS,"Noah gain, Jar jar. Yousa goen tada Bosses."
1,The Phantom Menace,CAPT. TARPALS,gives JAR JAR a slight zap with his power pole.
1,The Phantom Menace,JAR JAR,"jumps and moves off, followed by the two JEDI."
1,The Phantom Menace,JAR JAR,How wude. 27. INT. OTOH GUNGA – HIGH TOWER
1,The Phantom Menace,BOARD,ROOM
1,The Phantom Menace,WAN,"and QUI-GON stand facing BOSS NASS, who sits on a bench"
1,The Phantom Menace,BOSS NASS,…Yousa cannot bees hair. Dis army of Mackineeks up
1,The Phantom Menace,QUI-GON,That droid army is about to attack the Naboo. We must
1,The Phantom Menace,BOSS NASS,Wesa no like da Naboo! Un dey no like uss-ens. Da
1,The Phantom Menace,OBI-WAN,"After those droids take control of the surface, they will"
1,The Phantom Menace,BOSS NASS,"No, mesa no tink so. Mesa scant talkie witda Naboo,"
1,The Phantom Menace,OOM-9,"If they are down here, sir, we’ll find them. We are moving out"
1,The Phantom Menace,OBI-WAN,You and the Naboo form a symbiont circle. What happens
1,The Phantom Menace,QUI-GON,(waves his hand) Then speed us on our way.
1,The Phantom Menace,NASS,"Wesa wish no nutten in yousa tings, outlaunder, and wesa no"
1,The Phantom Menace,BOSS NASS,Wesa gonna speed yousaway.
1,The Phantom Menace,QUI-GON,We need a transport.
1,The Phantom Menace,BOSS NASS,Wesa give yousa una bongo. Now go. Da speedest way
1,The Phantom Menace,QUI-GON,Thank you for your help. We go in peace.
1,The Phantom Menace,QUI-GON,and OBI-WAN turn to leave.
1,The Phantom Menace,OBI-WAN,"Master, what’s a bongo?"
1,The Phantom Menace,QUI-GON A,"transport, I hope."
1,The Phantom Menace,JAR JAR,Daza setten yous up. Goen through da planet core is bad
1,The Phantom Menace,QUI-GON,"Thank you, my friend."
1,The Phantom Menace,JAR JAR,Ahhh… any hep hair would be hot.
1,The Phantom Menace,QUI-GON,Destroyer droids!
1,The Phantom Menace,JAR,JAR’s soulful look is counterpointed by a sheepish grin.
1,The Phantom Menace,QUI-GON,Time spent here may help us. Jar Jar here may be of use
1,The Phantom Menace,OBI-WAN I,sense a loss of focus.
1,The Phantom Menace,QUI-GON,"Be mindful, my young Padawan! Your sensitivity to the"
1,The Phantom Menace,OBI-WAN,is embarrassed. QUI-GON walks back to BOSS NASS.
1,The Phantom Menace,QUI-GON,What is to become of Jar jar Binks here?
1,The Phantom Menace,BOSS NASS,Binkss brokeen the nocombackie law. Hisen to be
1,The Phantom Menace,QUI-GON,He has been a great help to us. I hope the punishment will
1,The Phantom Menace,BOSS NASS,Pounded unto death.
1,The Phantom Menace,JAR JAR,(grimacing) Oooooh… Ouch!
1,The Phantom Menace,OBI-WAN,looks concerned. QUI-GON is thinking.
1,The Phantom Menace,QUI-GON,We need a navigator to get us through the planet’s core. I
1,The Phantom Menace,OBI-WAN,"We don’t have time, Master."
1,The Phantom Menace,BOSS NASS,Binks. Yousa havena liveplay with thisen hisen?
1,The Phantom Menace,JAR JAR,nods and joins the JEDI. QUI-GON waves his hand.
1,The Phantom Menace,QUI-GON,Your gods demand that his life belongs to me now.
1,The Phantom Menace,QUI-GON,There’s always a bigger fish.
1,The Phantom Menace,JAR JAR,"Count mesa outta dis! Better dead here, den deader in da"
1,The Phantom Menace,EXT. NABOO CITY,– UNDERWATER – SUB (FX)
1,The Phantom Menace,INT. SUB COCKPIT,– UNDERWATER
1,The Phantom Menace,OBI-WAN,"in the co-pilots seat, JAR JAR guides the craft."
1,The Phantom Menace,JAR JAR,Dis is nusen.
1,The Phantom Menace,OBI-WAN,"Master, why do you keep dragging these pathetic life forms"
1,The Phantom Menace,JAR JAR,"Hey, ho? Where wesa goen??"
1,The Phantom Menace,QUI-GON,You’re the navigator.
1,The Phantom Menace,JAR JAR,Yo dreamen mesa hopen…
1,The Phantom Menace,QUI-GON,"Just relax, the Force will guide us…"
1,The Phantom Menace,JAR JAR,"Ooooh, maxibig… “da Force”… Wellen, dat smells"
1,The Phantom Menace,JAR JAR,veers the craft to the left and turns the lights on. The coral
1,The Phantom Menace,OBI-WAN,"Why were you banished, Jar jar?"
1,The Phantom Menace,JAR JAR,"Tis a long tale, buta small part wawdabe mesa… ooooh…"
1,The Phantom Menace,OBI-WAN,They banished you because you’re clumsy?
1,The Phantom Menace,JAR JAR,Mesa cause-ed mabee one or duey lettal bitty axadentes…
1,The Phantom Menace,KILLER,has hooked them with its long gooey tongue.
1,The Phantom Menace,QUI-GON,Full speed ahead.
1,The Phantom Menace,JAR JAR,Oooops.
1,The Phantom Menace,OBI-WAN,Give me the controls.
1,The Phantom Menace,OBI-WAN,takes over the controls and the OPEE SEA KILLER
1,The Phantom Menace,JAR JAR,Wesa free!
1,The Phantom Menace,NUTE,"Ah, victory!"
1,The Phantom Menace,AQUA MONSTER.,The lights on the tiny sub begin to flicker as they
1,The Phantom Menace,INT. FEDERATION BATTLESHIP,– BRIDGE
1,The Phantom Menace,EXT. THEED,– MAIN ROAD INTO THEED – DAY (FX)
1,The Phantom Menace,NUTE,and RUNE stand before a hologram of DARTH SIDIOUS.
1,The Phantom Menace,DARTH SIDIOUS,Good. I have the Senate bogged down in
1,The Phantom Menace,NUTE,The Queen has great faith the Senate will side with her.
1,The Phantom Menace,DARTH SIDIOUS,Queen Amidala is young and naive. You will find
1,The Phantom Menace,NUTE,"Thank you, My Lord."
1,The Phantom Menace,DARTH SIDIOUS,fades away.
1,The Phantom Menace,RUNE,You didn’t tell him about the missing Jedi?
1,The Phantom Menace,NUTE,"No need to report that to him, until we have something to"
1,The Phantom Menace,INT. SUB COCKPIT,– UNDERWATER
1,The Phantom Menace,OBI-WAN,… we’re losing power.
1,The Phantom Menace,OBI-WAN,is working with the sparking wires. JAR JAR panics.
1,The Phantom Menace,QUI-GON,Stay calm. We’re not in trouble yet.
1,The Phantom Menace,JAR JAR,"What yet? Monstairs out dare! Leak’n in here, all’n sink’n,"
1,The Phantom Menace,OBI-WAN,Power’s back.
1,The Phantom Menace,JAR JAR,Monstairs back!
1,The Phantom Menace,JAR JAR,(cont’d) Wesa in trouble now??
1,The Phantom Menace,QUI-GON,Relax.
1,The Phantom Menace,QUI-GON,puts his hand on JAR JAR’s shoulder. JAR JAR relaxes
1,The Phantom Menace,OBI-WAN,You overdid it.
1,The Phantom Menace,JAR JAR,regains consciousness.
1,The Phantom Menace,JAR JAR,Wesa dead yet?? Oie Boie!
1,The Phantom Menace,JAR,"JAR’s eyes bulge, and he faints again. The sub narrowly avoids"
1,The Phantom Menace,QUI-GON,Head for that outcropping.
1,The Phantom Menace,NUTE,"The invasion is on schedule, My Lord."
1,The Phantom Menace,EXT. THEED PLAZA,– DAY (FX)
1,The Phantom Menace,INT. NABOO LAKE,– UNDERWATER – SUB (FX)
1,The Phantom Menace,QUI-GON,Do you have transports?
1,The Phantom Menace,EXT. THEED,– ESTUARY – DAY
1,The Phantom Menace,LOUD RUSH OF,"BUBBLES, and a small sub bobs to the surface."
1,The Phantom Menace,JAR JAR,Wesa safe now.
1,The Phantom Menace,QUI-GON,Get this thing started.
1,The Phantom Menace,JAR JAR,Dissen berry good. Hey?
1,The Phantom Menace,OBI-WAN,What is it?
1,The Phantom Menace,JAR JAR,looks back to where they’re drifting. He sees they are
1,The Phantom Menace,JAR JAR,What!!?? Oie boie!
1,The Phantom Menace,OBI-WAN,tries to start the engine. The long props behind the sub
1,The Phantom Menace,JAR JAR,"(cont’d) Iyiiyi, wesa die’n here, hey!"
1,The Phantom Menace,QUI-GON,"shoots the thin cable, and it wraps itself around a railing on"
1,The Phantom Menace,QUI-GON,Come on…
1,The Phantom Menace,OBI-WAN,climbs out of the sub and pulls himself along the cable.
1,The Phantom Menace,QUI-GON,starts in after him.
1,The Phantom Menace,QUI-GON,"(cont’d) Come on, Jar jar."
1,The Phantom Menace,JAR JAR,No! Too scary!
1,The Phantom Menace,OBI-WAN,Get up here!
1,The Phantom Menace,JAR JAR,No a mighty no!
1,The Phantom Menace,JAR JAR,looks back and sees he is hanging over the waterfall.
1,The Phantom Menace,JAR JAR,(cont’d) Oie boie… mesa comen. Mesa comen!
1,The Phantom Menace,JAR JAR,starts to climb out of the sub. OBI-WAN is on shore and
1,The Phantom Menace,OBI-WAN,That was close.
1,The Phantom Menace,BATTLE DROID,3B3: (O.S) Drop your weapons!
1,The Phantom Menace,BATTLE DROID 3B3 I,said drop your weapons
1,The Phantom Menace,JAR JAR,Wesa dude it!
1,The Phantom Menace,QUI-GON,"ignites his laser sword, and in a brief flash, the DROID is"
1,The Phantom Menace,JAR JAR,Whoa!!!
1,The Phantom Menace,JAR,reluctantly follows and looks back at the mess.
1,The Phantom Menace,EXT. THEED,– PALACE – DAY
1,The Phantom Menace,INT. THEED,– PALACE THRONE ROOM – DAY
1,The Phantom Menace,QUEEN,"AMIDALA, SIO BIBBLE, and FIVE OF HER HANDMAIDENS"
1,The Phantom Menace,TWENTY DROIDS. CAPTAIN PANAKA,and FOUR NABOO
1,The Phantom Menace,GUARDS,are also held at gunpoint. NUTE and RUNE stand in the
1,The Phantom Menace,BIBBLE,… how will you explain this invasion to the Senate?
1,The Phantom Menace,NUTE,The Naboo and the Federation will forge a treaty that will
1,The Phantom Menace,AMIDALA I,will not co-operate.
1,The Phantom Menace,NUTE,"Now, now, your Highness. You are not going to like what we"
1,The Phantom Menace,OOM-9,"Yes, sir! (turns to his sergeant) Take them to Camp Four."
1,The Phantom Menace,CAPT. PANAKA,In the main hanger. This way.
1,The Phantom Menace,EXT. PALACE,– PLAZA – DAY
1,The Phantom Menace,CAPTAIN,"PANAKA, SIO BIBBLE, and FOUR GUARDS are led out of"
1,The Phantom Menace,BATTLE,"DROIDS, which they pass on their way to the detention"
1,The Phantom Menace,FOUR BATTLE DROIDS,are instantly cut down. MORE DROIDS
1,The Phantom Menace,SERGEANT,starts to run but is pulled back to QUI-GON by the
1,The Phantom Menace,JAR JAR,Yousa guys bombad!
1,The Phantom Menace,QUEEN AMIDALA,and the OTHERS are amazed. JAR JAR is getting
1,The Phantom Menace,QUI-GON,"Your Highness, we are the Ambassadors, for the Supreme"
1,The Phantom Menace,BIBBLE,"Your negotiations seem to have failed, Ambassador."
1,The Phantom Menace,QUI-GON,"The negotiations never took place. Your Highness, we"
1,The Phantom Menace,CAPTAIN PANAKA,steps forward.
1,The Phantom Menace,CAPT. PANAKA,They’ve knocked out all our communications.
1,The Phantom Menace,QUEEN,"AMIDALA, PADME, EIRTA, YANE, RABE, SACHE,"
1,The Phantom Menace,JAR JAR,Mure? Mure did you spake??!?
1,The Phantom Menace,THEY,disappear down an alleyway as the ALARMS are sounded
1,The Phantom Menace,NUTE,"She has disappeared, My Lord. One Naboo cruiser got pat the"
1,The Phantom Menace,QUI-GON,"I’m Ambassador for the Supreme Chancellor, and I’m"
1,The Phantom Menace,GUARD DROID,Where are you going?
1,The Phantom Menace,CAPTAIN PANAKA,cracks open a side door to the central hanger.
1,The Phantom Menace,QUI-GON,"looks in over his shoulder. OBI-WAN, JAR JAR, and the"
1,The Phantom Menace,CAPT. PANAKA,There are too many of them.
1,The Phantom Menace,QUI-GON,"That won’t be a problem. (to Amidala) Your Highness,"
1,The Phantom Menace,AMIDALA,"Thank you, Ambassador, but my place is here with my"
1,The Phantom Menace,QUI-GON,They will kill you if you stay.
1,The Phantom Menace,BIBBLE,They wouldn’t dare.
1,The Phantom Menace,CAPT. PANAKA,They need her to sign a treaty to make this invasion
1,The Phantom Menace,QUI-GON,The situation here is not what it seems. There is something
1,The Phantom Menace,BIBBLE,"Please, Your Highness, reconsider. Our only hope is for the"
1,The Phantom Menace,CAPT. PANAKA,"Getting past their blockade is impossible, Your"
1,The Phantom Menace,BIBBLE,"Your Highness, I will stay here and do what I can… They will"
1,The Phantom Menace,AMIDALA,Either choice presents a great risk… to all of us…
1,The Phantom Menace,PADME,"We are brave, Your Highness."
1,The Phantom Menace,QUI-GON,"If you are to leave, Your Highness, it must be now."
1,The Phantom Menace,AMIDALA,"Then, I will plead our case before the Senate. (to Bibble)"
1,The Phantom Menace,INT. CENTRAL HANGER,– DAY
1,The Phantom Menace,CAPTAIN,"PANAKA, TWO GUARDS, and THREE HANDMAIDENS"
1,The Phantom Menace,CAPT. PANAKA,We need to free those pilots.
1,The Phantom Menace,CAPTAIN PANAKA,"points to TWENTY GUARDS, GROUND CREW,"
1,The Phantom Menace,OBI-WAN,I’ll take care of that.
1,The Phantom Menace,DROID GUARD,You’re under arrest!
1,The Phantom Menace,OBI-WAN,heads toward the group of captured pilots.
1,The Phantom Menace,DROIDS,"can fire, they are cut down. OTHER GUARDS run to their"
1,The Phantom Menace,CAPT. PANAKA,Stay on course!
1,The Phantom Menace,JAR JAR,"Ello, boyos. (no response) Disa wanna longo trip… hey?"
1,The Phantom Menace,GUARDS,and GROUND CREW MEMBERS rush on board the ship.
1,The Phantom Menace,ALARMS,sound. MORE DROIDS rush into the hanger and fire as the
1,The Phantom Menace,EXT. THEED,– HANGER ENTRY – DAY (FX)
1,The Phantom Menace,EXT. SPACE,(FX)
1,The Phantom Menace,INT. NABOO SPACECRAFT,– COCKPIT
1,The Phantom Menace,GON,and CAPTAIN PANAKA watch.
1,The Phantom Menace,RIC OLIE,… our communications are still jammed.
1,The Phantom Menace,INT. NABOO SPACECRAFT,– DROID HOLD
1,The Phantom Menace,JAR JAR,"is led into a low, cramped doorway by OBI-WAN."
1,The Phantom Menace,OBI-WAN,"Now stay here, and keep out of trouble."
1,The Phantom Menace,OBI-WAN,closes the door. JAR JAR looks around and sees a long
1,The Phantom Menace,JAR JAR,"taps a bright red R-2 UNIT on the head, and its head pops"
1,The Phantom Menace,BOSS NASS,"Hisen live tis yos, outlauder. Begone wit him."
1,The Phantom Menace,JAR JAR,(Cont’d) Tis opens?… Oooops!
1,The Phantom Menace,JAR JAR,(Cont’d) Yoi! Just yoken!
1,The Phantom Menace,EXT. SPACE BATTLE,(FX)
1,The Phantom Menace,INT. NABOO SPACECRAT,– COCKPIT
1,The Phantom Menace,RIC OLIE,"There’s the blockade, hang on."
1,The Phantom Menace,ALARM SOUNDS,fill the cockpit as OBI-WAN enters.
1,The Phantom Menace,RIC OLIE,(Cont’d) The shield generator’s been hit. Our deflector
1,The Phantom Menace,INT. NABOO SPACECRACT,– DROID HOLD (FX)
1,The Phantom Menace,JAR,"holds on for dear life. One LITTLE BLUE ASTRO DROID, who is"
1,The Phantom Menace,QUI-GON,Do you have a cloaking device?
1,The Phantom Menace,QUI-GON,"and the QUEEN, CAPTAIN PANAKA, JAR JAR, and the"
1,The Phantom Menace,CAPT. PANAKA,"No, this is not a warship… we have no"
1,The Phantom Menace,RIC OLIE,We won’t make it. The shields are gone.
1,The Phantom Menace,DARTH SIDIOUS,"Viceroy, find her! I want that treaty signed."
1,The Phantom Menace,OBI-WAN,We’re losing droids fast.
1,The Phantom Menace,CAPT. PANAKA,"If they can’t get those shield generators fixed, we"
1,The Phantom Menace,RIC OLIE,The shields are gone.
1,The Phantom Menace,EXT. NABOO SPACECRAFT,– ENGINES – SPACE (FX)
1,The Phantom Menace,RIC OLIE,Powers back! That little droid did it. He bypassed the main
